continent,country,total_cases,total_deaths,total_vaccinations,people_fully_vaccinated,population,median_age,gdp_per_capita,diabetes_prevalence,hospital_beds,life_expectancy,HDI
Africa,Angola,98829,1900,16850195.0,5699666,33933611,16.8,5819.495,3.94,0.8,61.15,0.581
South America,Argentina,8949362,126901,94883369.0,36679370,45605823,31.9,18933.907,5.5,5.0,76.67,0.845
North America,Aruba,33732,212,168150.0,80608,107195,41.2,35973.781,11.62,0.002,76.29,0.908
Oceania,Australia,3459870,5495,54659334.0,20568346,25788217,37.9,44648.71,5.07,3.84,83.44,0.944
Asia,Azerbaijan,789757,9547,13176571.0,4796474,10223344,32.4,15847.419,7.11,4.7,73.0,0.7559999999999999
Asia,Bangladesh,1948148,29096,217946936.0,87795353,166303494,27.5,3523.984000000001,8.38,0.8,72.59,0.632
North America,Barbados,56376,323,310652.0,150127,287708,39.8,16978.068,13.57,5.8,79.19,0.8140000000000001
Europe,Belgium,3609122,30313,25116655.0,9097975,11632334,41.8,42658.576,4.29,5.64,81.63,0.931
Africa,Benin,26575,163,3060435.0,2214327,12451031,18.8,2064.236,0.99,0.5,61.77,0.545
South America,Bolivia,895424,21469,12736142.0,5666928,11832936,25.4,6885.8290000000015,6.89,1.1,71.51,0.718
South America,Brazil,29152318,653134,397386286.0,156114741,213993441,33.5,14103.452,8.11,2.2,75.88,0.765
Asia,Cambodia,133065,3043,36072945.0,13870644,16946446,25.6,3645.07,4.0,0.8,69.82,0.594
North America,Canada,3349699,37148,81517941.0,30988760,38067913,41.4,44017.59099999999,7.37,2.5,82.43,0.929
South America,Chile,3214326,43260,49438535.0,17287717,19212362,35.4,22767.037,8.46,2.11,80.18,0.851
Africa,Cote d'Ivoire,81559,795,10108543.0,4178108,27053629,18.7,3601.006,2.42,0.4,57.78,0.5379999999999999
Europe,Croatia,1065001,15250,5204094.0,2232741,4081657,44.0,22669.797,5.59,5.54,78.49,0.851
North America,Cuba,1073951,8501,35100904.0,9890964,11317498,43.1,9099.67,8.27,5.2,78.8,0.7829999999999999
Europe,Czechia,3642514,38986,17425459.0,6850923,10724553,43.3,32605.906000000006,6.82,6.63,79.38,0.9
Europe,Denmark,2891763,4948,13181765.0,4795531,5813302,42.3,46682.515,6.41,2.5,80.9,0.94
North America,Dominican Republic,576129,4371,15311504.0,5865672,10953714,27.6,14600.861,8.2,1.6,74.08,0.7559999999999999
South America,Ecuador,841575,35309,32402150.0,13614537,17888474,28.1,10581.936000000003,5.55,1.5,77.01,0.759
Europe,Estonia,520407,2308,1960523.0,841049,1325188,42.7,29481.252,4.02,4.69,78.74,0.892
Europe,Finland,694142,2571,11482486.0,4237644,5548361,42.8,40585.721,5.76,3.28,81.91,0.938
Europe,France,23217640,139687,141146937.0,52384383,67422000,42.0,38605.671,4.77,5.98,82.66,0.901
Europe,Germany,16026216,124450,170762390.0,62903135,83900471,46.6,45229.245,8.31,8.0,81.33,0.947
Europe,Greece,2538168,26303,20245734.0,7554569,10370747,45.3,24574.382,4.55,4.21,82.24,0.888
Asia,Hong Kong,739946,2578,13732278.0,5308227,7552800,44.8,56054.92,8.33,5.6,84.86,0.949
Europe,Hungary,1807285,44495,,6176649,9634162,43.4,26777.561,7.55,7.02,76.88,0.8540000000000001
Europe,Iceland,150467,73,804106.0,289700,368792,37.3,46482.958,5.31,2.91,82.99,0.949
Asia,India,42975883,515355,1791553063.0,804228336,1393409033,28.2,6426.674,10.39,0.53,69.66,0.645
Asia,Indonesia,5800253,150831,354566415.0,148587718,276361788,29.3,11188.744,6.32,1.04,71.72,0.718
Asia,Iran,7102159,138260,143490366.0,55873542,85028760,32.4,19082.62,9.59,1.5,76.68,0.7829999999999999
Europe,Ireland,1326946,6571,10664700.0,3992225,4982904,38.7,67335.293,3.28,2.96,82.3,0.955
Europe,Isle of Man,23777,80,187981.0,66706,85410,43.0,89112.67,6.01,1.58,81.4,0.8490000000000001
Asia,Israel,3688096,10322,18046743.0,6126129,9291000,30.6,33132.32,6.74,2.99,82.97,0.919
Europe,Italy,13109527,156201,134770418.0,47637632,60367471,47.9,35220.084,4.78,3.18,83.51,0.892
North America,Jamaica,128228,2831,1370534.0,657970,2973462,31.4,8193.571,11.28,1.7,74.47,0.7340000000000001
Asia,Japan,5486083,25317,236103982.0,100365560,126050796,48.2,39002.223,5.72,13.05,84.63,0.919
Asia,Kyrgyzstan,200658,2968,2789332.0,1187266,6628347,26.3,3393.474,7.11,4.5,71.45,0.6970000000000001
Europe,Latvia,712271,5369,2860567.0,1299984,1866934,43.9,25063.846,4.91,5.57,75.29,0.866
Asia,Lebanon,1080381,10169,5214216.0,2172743,6769151,31.1,13367.565,12.71,2.9,78.93,0.7440000000000001
Africa,Libya,498839,6314,3360306.0,1104501,6958538,29.0,17881.509,10.43,3.7,72.91,0.7240000000000001
Europe,Liechtenstein,13222,79,70233.0,26356,38254,43.7,180366.72,7.77,2.397,82.49,0.919
Europe,Lithuania,938968,8548,4455500.0,1871038,2689862,43.5,29524.265,3.67,6.56,75.93,0.882
Asia,Malaysia,3680953,33384,67911980.0,25766554,32776195,29.9,26808.164,16.74,1.9,76.16,0.81
Asia,Maldives,173337,297,909494.0,371327,543620,30.6,15183.616000000002,9.19,4.3,78.92,0.74
Europe,Malta,72130,610,1247286.0,464283,516100,42.4,36513.323,8.83,4.485,82.53,0.895
North America,Mexico,5575608,320166,183907915.0,79157987,130262220,29.3,17336.468999999994,13.06,1.38,75.05,0.779
Europe,Moldova,505996,11298,2086895.0,1044208,4024025,37.6,5189.972,5.72,5.8,71.9,0.75
Asia,Mongolia,913444,2176,5472008.0,2173366,3329282,28.6,11840.846,4.82,7.0,69.87,0.737
Europe,Montenegro,231115,2689,665061.0,280596,628051,39.1,16409.288,10.08,3.861,76.88,0.8290000000000001
Asia,Myanmar,601020,19394,45658400.0,21336252,54806014,29.1,5591.597,4.61,0.9,67.13,0.583
Asia,Nepal,977641,11949,38242703.0,18151365,29674920,25.0,2442.804,7.26,0.3,70.78,0.602
Oceania,New Zealand,286750,65,10758374.0,3971498,5126300,37.9,36085.843,8.08,2.61,82.29,0.931
Africa,Niger,8769,307,2674381.0,1541167,25130810,15.1,926.0,2.42,0.3,62.42,0.394
Europe,Norway,1325909,1664,11247832.0,4023465,5465629,39.7,64800.057,5.31,3.6,82.4,0.957
Asia,Pakistan,1516150,30287,218051079.0,100912956,225199929,23.5,5034.708,8.35,0.6,67.27,0.557
South America,Peru,3528939,211252,64554071.0,25183660,33359415,29.1,12236.706,5.95,1.6,76.74,0.777
Europe,Poland,5760498,112768,53547442.0,22256913,37797000,41.8,27216.445,5.91,6.62,78.73,0.88
Europe,Portugal,3352874,21248,22913355.0,9413188,10167923,46.2,27936.896,9.85,3.39,82.05,0.8640000000000001
Europe,Romania,2776910,64094,16707166.0,8072538,19127772,43.0,23313.199,9.74,6.892,76.05,0.828
North America,Saint Vincent and the Grenadines,8321,106,68091.0,29431,111269,31.8,10727.146,11.62,2.6,72.53,0.738
Asia,Singapore,846341,1099,13595965.0,4881571,5453600,42.4,85535.383,10.99,2.4,83.62,0.938
Europe,Slovenia,907630,6374,2966815.0,1218947,2078723,44.5,31400.84,7.25,4.5,81.32,0.917
Africa,South Africa,3686556,99625,32126152.0,17423434,60041996,27.3,12294.876,5.52,2.32,64.13,0.7090000000000001
Asia,South Korea,5212118,9440,119732354.0,44422329,51305184,43.4,35938.374,6.8,12.27,83.03,0.916
Asia,Sri Lanka,653029,16339,38524249.0,14221829,21497306,34.1,11669.077,10.68,3.6,76.98,0.782
Europe,Switzerland,2974778,13203,15586401.0,5984533,8715494,43.1,57410.166,5.59,4.53,83.78,0.955
Asia,Taiwan,20922,853,48167394.0,18044157,23855008,42.2,33004.0,7.0,7.129,80.46,0.916
Asia,Thailand,3088873,23438,125117530.0,49814033,69950844,40.1,16277.671,7.04,2.1,77.15,0.777
North America,Trinidad and Tobago,130964,3667,1530294.0,704504,1403374,36.2,28763.071,10.97,3.0,73.51,0.7959999999999999
Africa,Tunisia,1016894,27959,13014472.0,6338109,11935764,32.7,10849.297,8.52,2.3,76.7,0.74
Asia,Turkey,14425638,95811,146097881.0,52874017,85042736,31.6,25129.341,12.13,2.81,77.69,0.82
Europe,United Kingdom,19360938,162505,140233703.0,49135007,68207114,40.8,39753.244,4.28,2.54,81.32,0.932
North America,United States,79373683,958932,558438143.0,217137379,332915074,38.3,54225.446,10.79,2.77,78.86,0.926
South America,Uruguay,857635,7059,7739064.0,2780317,3485152,35.6,20551.409,6.93,2.8,77.91,0.8170000000000001
Asia,Vietnam,4776873,40977,198647028.0,77509406,98168829,32.6,6171.884,6.0,2.6,75.4,0.7040000000000001
Africa,Zambia,314159,3959,3073602.0,2007025,18920657,17.7,3689.251,3.94,2.0,63.89,0.584
Africa,Zimbabwe,240343,5400,7949875.0,3414446,15092171,19.6,1899.775,1.82,1.7,61.49,0.5710000000000001
